test,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Camera Matrix,425.2302,0.0000,311.5614,0.0000,425.2302,233.8077,0.0000,0.0000,1.0000
Distortion Coefficient,0.2446,-1.8003,-0.0037,-0.0093,4.2115
Camera Matrix,435.6692,0.0000,316.3770,0.0000,435.6692,236.6405,0.0000,0.0000,1.0000
Distortion Coefficient,0.2635,-2.4111,-0.0000,-0.0006,6.5597
Camera Matrix,366.9044,0.0000,326.1920,0.0000,366.9044,245.6966,0.0000,0.0000,1.0000
Distortion Coefficient,0.1058,-0.4307,-0.0054,-0.0062,0.6100
Camera Matrix,469.6152,0.0000,326.0402,0.0000,469.6152,255.6708,0.0000,0.0000,1.0000
Distortion Coefficient,0.3866,-3.1505,0.0263,0.0054,10.7105
Camera Matrix,455.4585,0.0000,315.8073,0.0000,455.4585,233.1504,0.0000,0.0000,1.0000
Distortion Coefficient,0.3573,-3.7828,-0.0035,-0.0076,14.4106
Camera Matrix,494.4484,0.0000,306.4985,0.0000,494.4484,240.9799,0.0000,0.0000,1.0000
Distortion Coefficient,0.4323,-4.6437,0.0040,-0.0145,18.2791
Camera Matrix,450.4798,0.0000,318.1329,0.0000,450.4798,240.8066,0.0000,0.0000,1.0000
Distortion Coefficient,0.3039,-2.1526,0.0035,-0.0153,5.6343
Camera Matrix,511.6061,0.0000,322.0245,0.0000,511.6061,240.2106,0.0000,0.0000,1.0000
Distortion Coefficient,-0.3191,1.0151,-0.0036,0.0068,-1.0413
Camera Matrix,527.3494,0.0000,316.7889,0.0000,527.3494,238.2153,0.0000,0.0000,1.0000
Distortion Coefficient,-0.3603,1.2631,-0.0046,0.0055,-1.4267
Camera Matrix,544.6505,0.0000,312.0324,0.0000,544.6505,241.2394,0.0000,0.0000,1.0000
Distortion Coefficient,-0.3971,1.4978,-0.0051,0.0044,-1.8464
Camera Matrix,511.0057,0.0000,314.3049,0.0000,511.0057,230.3877,0.0000,0.0000,1.0000
Distortion Coefficient,0.9278,-13.3001,-0.0086,0.0116,53.3220
Camera Matrix,437.2402,0.0000,332.2494,0.0000,437.2402,204.2911,0.0000,0.0000,1.0000
Distortion Coefficient,1.2254,-6.5745,-0.0591,0.0069,12.6123
Camera Matrix,502.1498,0.0000,306.2715,0.0000,502.1498,299.0960,0.0000,0.0000,1.0000
Distortion Coefficient,0.2495,0.2356,0.0636,-0.0110,-2.9304
Camera Matrix,439.1206,0.0000,324.8066,0.0000,439.1206,229.9076,0.0000,0.0000,1.0000
Distortion Coefficient,0.7673,-6.5422,-0.0205,0.0057,19.6372
Camera Matrix,443.2697,0.0000,333.3027,0.0000,443.2697,233.1642,0.0000,0.0000,1.0000
Distortion Coefficient,0.7808,-5.4569,-0.0254,0.0100,13.3229
Camera Matrix,468.4138,0.0000,316.9903,0.0000,468.4138,283.3690,0.0000,0.0000,1.0000
Distortion Coefficient,-0.1293,3.0470,0.0445,-0.0066,-9.9940
Camera Matrix,536.0359,0.0000,317.3953,0.0000,536.0359,297.3435,0.0000,0.0000,1.0000
Distortion Coefficient,1.3446,-7.1645,0.1451,-0.0339,27.0578
Camera Matrix,651.5869,0.0000,317.1924,0.0000,651.5869,235.7549,0.0000,0.0000,1.0000
Distortion Coefficient,0.6214,-8.2148,-0.0013,-0.0006,31.5070
Camera Matrix,501.3900,0.0000,349.4606,0.0000,501.3900,236.1089,0.0000,0.0000,1.0000
Distortion Coefficient,0.2627,-2.0329,-0.0038,0.0017,5.0462
